2026-08-04,Marion,test,"Sensibilité figée + résultats GBIF audités","Récap de stabilité persisté (data/sensitivity/sensitivity_summary.csv via _sandbox/build_sensitivity_summary.py, réutilise sensitivity_metrics.stability_table). Contrôle croisé §3.4 vs CSV: TOUS les chiffres confirmés (Perpignan hérisson connectée <=8.5%%<9%% + sous-réseaux inchangés; lézard -9.5 à +13.9%% + sous-réseaux +42.9%%/+35.7%%; sweep hérisson connexe tant que d0>0.5*ref; sweep lézard 14->25 à d0*0.5, 14->9 à d0*1.5; swfc_000 quasi-connecté). Corrigé §3.4 'moins de 7%%'->'de l'ordre de 7%%' (réel -7.0%%). GBIF: méthode saine (target-group background), mais erreur factuelle §3.5 corrigée (reptile pas 'tous IC comprennent 1': relais 0.5 IC[0.17-0.92] exclut 1) + dominance Toulouse (67-76%%) assumée + table effectifs/ville en annexe B (8/20 couples >=30 occ.)."
2026-08-04,Marion,decision,"Sensibilité étendue à toutes les villes/guildes + annexe F","Sur demande (coût pas un frein): campagne complète 6 villes x 4 guildes x 20 perturbations (local d0±25/fric±20 + balayage d0 0.5-1.5 + contraste 0-2) = 480 runs, runner _sandbox/run_sens_full.sh (résumable, timeout 1800s/run, --lc-cache, ordre villes cheap->cher). Env restauré au préalable (restore_env.sh: osmnx wipé au reboot). 1er run Kourou exit=0 (227s). Récap regénéré par build_sensitivity_summary.py; annexe F du rapport (rapport_9) alimentée par build_sensitivity_annexe.py (data/sensitivity/sensitivity_annexe.md), provisoire 4/24. §3.4 ne justifie plus par le coût. GBIF: interprétation détaillée ajoutée en §3.5 (lecture ratio <1/≈1/>1 + IC, synthèse habitat-pas-flux). REPRISE APRÈS REBOOT: bash restore_env.sh puis relancer run_sens_full.sh (reprend où il s'est arrêté)."
2026-08-04,Marion,incident,"Campagne sensibilité: 2 bugs + 1 dérive env corrigés","76/215 runs sortaient VIDES (exit=0, pas de stats) = piège 'exit0 != données valides'. Diag: (1) BUG chemin --lc-cache: ee.Initialize était DANS le bloc 'if lc_wc is None' (fetch), donc sauté sur cache-hit, mais sp_pipeline appelle ee.Geometry en aval -> 'EE not initialized'. (2) 2e bug cache: KeyError('class') sur le parquet OSM en cache. (3) Dérive env: ~/.local a urllib3-future (fork, installé 3/8, tiré par dep meteo) qui shadow urllib3 sous son nom et casse le client EE ~35% (traffic_police 'connection broken'). FIX: (a) hoist ee.Initialize inconditionnel dans run_pipeline.py (préserve le comportement, le fetch l'initialisait déjà); (b) runner run_sens_full.sh: PYTHONPATH=/opt/conda/.../site-packages (urllib3 standard, EE 10/10) + retrait --lc-cache (chemin fetch éprouvé, temps non contraint) + retry x3 sur sortie vide + timeout 2400s. Validé: Kourou ground_mammal fric_p20 done exit=0 251s (était vide). Campagne relancée (fetch), résumable. REPRISE APRÈS REBOOT: bash restore_env.sh puis 'export PYTHONPATH=/opt/conda/lib/python3.11/site-packages' est déjà dans le runner; relancer run_sens_full.sh."
2026-08-04,Marion,decision,"Sensibilité complète: fetch (pas de cache) + runner auto-convergent","Diagnostic final des sorties vides: (A) bug run_pipeline ee.Initialize dans le bloc fetch -> corrigé (hoist inconditionnel). (B) cache RASTER corrompu: data/lc_cache/*/lc_wc.tif stocke les codes WorldCover /10 (1..9.5 au lieu de 10..95) -> habitat mal classé -> 0 ilot. Round-trip to_raster/open_rasterio prouvé fidele, donc corruption du fichier caché lui-meme; run fetch valide = codes corrects [0,10..95,51..54]. => CACHE ABANDONNÉ, on reste en fetch (résultats corrects, §3.4 non affecté). (C) bug latent connectivity.py:127 get_connectivity_elements: colonne 'class' non créée si 0 stepping stone -> KeyError -> corrigé (assignation inconditionnelle, np.where sur frame vide OK). (D) Overpass (overpass-api.de) flappe/refuse sur villes denses (Nancy/Toulouse) quand OSM re-fetché chaque run; on est pourtant gentils (~1 req/3min) donc pannes transitoires -> backoff long 90/180s + reprises. Runner run_sens_full.sh désormais AUTO-CONVERGENT (jusqu'à 6 passes, rejoue les trous, stop quand 0 échec). 230/480 avant relance. REPRISE APRÈS REBOOT: restore_env.sh puis relancer run_sens_full.sh."
2026-08-04,Marion,decision,"Sensibilité: décision finale = fetch + runner auto-convergent","Marion a laissé le choix ('je sais pas'). Tranché: rester en fetch (corrects) + PAS de cache. Preuves: (a) run fetch valide -> codes landcover [0,10..95,51..54] CORRECTS (donc §3.4/GBIF/rapport justes); (b) raster caché data/lc_cache/*/lc_wc.tif CORROMPU = codes /10 (1..9.5) -> habitat faux -> 0 îlot; round-trip to_raster/open_rasterio prouvé fidèle donc ce sont les fichiers cache qui sont mauvais. Utiliser le cache corromprait silencieusement -> banni. Bug latent corrigé dans connectivity.py get_connectivity_elements: colonne 'class' assignée seulement 'if not empty' -> KeyError sur tout run à 0 îlot; maintenant inconditionnel (np.where sur frame vide OK). Overpass flappe sur villes denses (Nancy/Toulouse) en fetch: runner _sandbox/run_sens_full.sh rendu AUTO-CONVERGENT (jusqu'à 6 passes, ne rejoue que les trous, s'arrête à 0 échec, backoff 90/180s, pause 120s inter-passe). Tourne sans supervision jusqu'au bout. 230/480 à ce point."
2026-08-04,Marion,decision,"Overpass miroir + plan biblio §1","Campagne sensibilité bloquée sur villes denses (Nancy): overpass-api.de refuse en boucle, backoff long -> ~13min/echec, 0 progres. Fix: landcover.py pointe un miroir Overpass (kumi.systems, override env OSMNX_OVERPASS_URL) - l'equipe utilise deja des miroirs. Relancé (auto-convergent). 230/480 valides corrects (Kourou+Perpignan complets). Verdict miroir a confirmer au prochain check. // RAPPORT: livré étape 1 partielle = papier/internship_report/biblio_plan_source_first.md (§1 complet: argument->ref->ce qu'elle établit, état de l'art PAR BRIQUE A-I = squelette réécriture étape 2, liste des 8 ⚠ corrections d'attribution à appliquer, liste DOI à confirmer). Suite: §2 méthode, §4 discussion."
2026-08-05,Marion,decision,"Sensibilité débloquée (cache OSM) + re-run cohérent tampon figé (option i)","Cause du blocage villes denses trouvée (question de Marion): le pipeline normal réutilise le cache HTTP osmnx (data/cache) rempli par les notebooks au tampon fixe. La sensibilité le cassait 2x: (a) tampon = 2*d0max variait avec --d0-scale -> requete OSM differente; (b) j'avais pointe un miroir Overpass (kumi) or la cle de cache osmnx inclut l'URL -> cache des notebooks (overpass-api.de) non retrouve. FIX: (1) tampon figé sur d0max NON perturbé dans run_pipeline.py (max_d0_ref) - plus correct (jamais < portee) et requete OSM identique au baseline -> cache reutilise; (2) landcover.py revenu a Overpass par defaut (miroir seulement via env OSMNX_OVERPASS_URL). Validé: Nancy swd0_050 produit ses stats via cache, plus de hang. Impact resultats mesuré: lezard swd0_050 IDENTIQUE (18.3%/25 SR/213ha); seuls les points herisson a tres bas d0 (ancien tampon < portee) peuvent bouger, dans le sens plus correct. Option (i) retenue: re-run cohérent des tags d0-variants (d0_m25/p25, swd0_*) sur les 6 villes au tampon figé (fric_*/swfc_*/c* conservés, deja tampon 6000). A SUIVRE: re-deriver les 2-3 chiffres §3.4 qui bougent + regenerer sensitivity_summary.csv + annexe F sur 6 villes."
2026-08-05,Marion,decision,Analyse de sensibilite: structure retenue + retrait connectivity_loss,"Decisions Marion. (1) Axes de sensibilite = d0 (portee) + friction-contraste (structure); friction uniforme abandonnee (doublon partiel de d0, agit sur le meme budget de deplacement). (2) Methode balayage-d'abord: courbes de reponse par ville, on y lit la sensibilite sur la fenetre d'incertitude plausible + la marge jusqu'au changement de regime; plus aucune amplitude arbitraire (le local d0 +/-25 pourcent est un point du balayage). (3) Indicateurs: part connectee (continu) + n_subnetworks traite comme un COMPTE gradue (1, 3, 14, 70 sous-reseaux), pas un binaire connexe/morcele. (4) connectivity_loss_pct retire du code (sp_pipeline stats dict) et des docs (methodo_paper); la perte se lit desormais en hectares ec_theory_ha - ec_real_ha. Famille theory (pc_theory/ec_theory/n_subnetworks_theory) conservee car encore utilisee (loss en ha + subnetworks_split_by_failed_links). §3.4 a reecrire une fois le balayage complet sur les 6 villes."
2026-09-01,Marion,decision,Renommage segments_amenagement -> corridor_segments,"Identifiant trompeur (la couche n'est pas une proposition d'amenagement, c'est le reseau LCP agrege et clippe a l'AOI). Renomme partout: connectivity.py:832 create_urban_planning_segments -> create_corridor_segments, sp_pipeline.py:257, paths.py:120, prep_for_dashboard.py, fichiers de sortie, README EN/FR, rapport. Rename pur (aucun changement de logique). Les sorties existantes sous l'ancien nom doivent etre re-generees pour porter le nouveau nom de fichier."
2026-09-01,Marion,decision,Cache land-cover (--lc-cache / --refresh-lc) + timeouts par run,"Chaque run re-telechargeait WorldCover depuis Earth Engine; un fetch a hang ~20h et a bloque la file sequentielle de sensibilite. Fix 1: cache opt-in dans run_pipeline.py, WorldCover+OSM ne dependent que de la ville et du tampon (2*d0max) donc caches une fois par data/lc_cache/<Ville>_<tampon>/ (lc_wc.tif rioxarray + lc_osm.parquet). --refresh-lc force la reecriture; erreur de lecture -> fallback download. Fix 2: runners (run_sens_perclass_queued.sh, run_sweeps.sh) enveloppent chaque appel dans timeout -k 60 900. NB: un cache raster corrompu (codes /10) a ensuite fait abandonner le cache pour la campagne de sensibilite au profit du fetch (voir rows 2026-08-04/05); l'option --lc-cache reste dans le code."
